Category,Vector
1,[0. 0. 0. 0. 9.]
1,[0. 0. 0. 0. 6.]
-1,[ 0.  3. 25.  5.  4.]
1,[0.  0.  0.  4.5 6. ]
1,[ 0.  0.  0. 12.  1.]
-1,[ 0.  1.  4. 28.  5.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 1. 0. 4.]
-1,[ 0.  4. 19. 17.  6.]
-1,[ 0.          3.         13.          5.33333333  2.        ]
1,[ 0.  0.  0. 11.  3.]
-1,[ 0.  2. 22.  4.  8.]
-1,[ 1.          4.         20.          1.85714286  8.        ]
1,[ 0.   0.   0.  17.5  3. ]
1,[0. 0. 0. 0. 2.]
-1,[ 1.   1.   0.   9.5 11. ]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 1. 0. 5.]
1,[0. 0. 0. 0. 1.]
-1,[ 0.          1.         23.          4.33333333  8.        ]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  1. 10.  0.]
1,[0. 0. 0. 0. 6.]
1,[ 0.  0.  1. 16.  3.]
1,[0. 0. 0. 8. 2.]
1,[0.         0.         0.         7.33333333 5.        ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 5.]
1,[0.  1.  0.  8.5 3. ]
1,[0. 0. 0. 7. 4.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 2. 0. 6.]
1,[0. 0. 0. 5. 1.]
1,[0. 0. 0. 0. 1.]
-1,[0.   0.   1.   5.25 2.  ]
1,[0. 0. 2. 0. 6.]
1,[0. 0. 0. 9. 1.]
1,[0. 0. 0. 3. 0.]
1,[0. 0. 0. 2. 6.]
1,[ 0.  0.  0. 29.  4.]
1,[ 0.  0.  0. 13.  3.]
1,[ 0.   0.   0.   3.6 15. ]
-1,[ 0.  5. 22. 22.  5.]
1,[0. 0. 0. 0. 1.]
1,[ 0.   0.   0.   5.5 10. ]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0. 13.  1.]
1,[0.  0.  0.  5.2 4. ]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0. 23. 11.]
1,[ 0.  0.  0. 16.  0.]
1,[0.         0.         0.         8.83333333 9.        ]
-1,[0.         0.         0.         1.66666667 5.        ]
1,[0. 1. 0. 9. 6.]
-1,[ 0.          3.         24.          4.33333333 12.        ]
1,[0. 1. 0. 5. 2.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  1. 20.  4.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 4. 0.]
1,[ 0.  1.  0. 10.  2.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.  1. 15. 20.  3.]
1,[0. 0. 0. 0. 8.]
-1,[ 0.  2. 21.  4. 10.]
-1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 7. 1.]
1,[0. 0. 0. 0. 9.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 0. 1.]
1,[0. 0. 0. 8. 6.]
1,[0. 2. 0. 4. 3.]
1,[0. 2. 0. 7. 2.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0. 10.  3.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 3.]
1,[0. 1. 0. 3. 1.]
1,[0. 2. 0. 6. 2.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 0.]
1,[0. 1. 0. 0. 1.]
1,[ 0.  1.  0. 10.  4.]
1,[0.         0.         1.         7.33333333 3.        ]
1,[0. 0. 0. 9. 3.]
1,[0. 0. 0. 9. 0.]
1,[0. 1. 0. 0. 5.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  2. 35.  4.]
1,[0. 0. 1. 6. 2.]
-1,[ 0.  2. 22. 15.  2.]
1,[0. 0. 3. 8. 3.]
-1,[ 0.          1.         18.          4.66666667  8.        ]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 0. 7.]
1,[0. 0. 0. 6. 0.]
1,[ 0.  0.  0. 10.  2.]
